url|title
0pPC1XxwJII|Spirit Untamed (Spirit: O Indomável) - Crítica: a pior animação da história da DreamWorks?
0T1u-yGM1No|Dirty Harry (Perseguidor Implacável, 1971) - Crítica do filme
0UpG5vrw5ls|Blithe Spirit (2020) - Crítica do filme: mais uma bomba, Judi Dench?
0ZIvvzDQ7Tk|Escape Room 2 - Tensão Máxima - Crítica do filme
1QPBa5sP0xw|007 - Nunca Mais Outra Vez (1983) - Crítica do filme
1SSVsqBwi10|007 contra o Foguete da Morte (1979) - Crítica do filme: James Bond no Brasil!
24ro6a0H4ZA|Absolute Power (Poder Absoluto, 1997) - Crítica do filme
2aq3jLk3iLU|Four Good Days - Crítica do filme
2GapyG2oZdg|"Midnight in the Switchgrass - Crítica: o ""imperador dos filmes B"" estreia como diretor"
30Ximru4S48|The Kid (O Garoto) - Crítica: 100 anos do lançamento do clássico de Charlie Chaplin
3latHvgGtJ8|Cosmic Sin - Crítica do filme: o pior da carreira de Bruce Willis?
3YVYY4R5UCM|Hitman's Wife's Bodyguard (Dupla Explosiva 2 - E a Primeira Dama do Crime) - Crítica do filme
4z1dok-KSMg|Nomadland - Crítica do filme
5s7RrNNw_h4|Vanquish (Conquista) - Crítica do filme
5U-QmvkArLc|Freaky: No Corpo de um Assassino - Crítica do filme da Blumhouse
6IenRhQ3Y6I|Halloween II - O Pesadelo Continua (1981) - Crítica do filme
6qMv0WgccHY|CODA (No Ritmo do Coração) - Crítica: a aposta da Apple para a temporada de premiações!
88SnYOazuGM|Peter Rabbit 2 (Pedro Coelho 2 - O Fugitivo) - Crítica do filme
8FlO_fdlUcY|007 contra Spectre (2015) - Crítica do filme
9GLc6NBzRuU|Halloween - Ressurreição (2002) - Crítica do filme
9SG4JP1Thvw|Promising Young Woman (Bela Vingança) - Crítica do filme
9-Y-f07N2Ws|Over the Moon (A Caminho da Lua) - Crítica da animação da Netflix
AfLf6UZxEY4|Invocação do Mal 3: A Ordem do Demônio - Crítica do filme
AG8-sENjUU0|Ammonite - Crítica do filme
AmCvaBFHDqA|007 - O Espião Que Me Amava (1977) - Crítica do filme
Arb4wvpY6do|007 - Cassino Royale (2006) - Crítica do filme
ARVkPTKzIMA|Riders of Justice (Loucos por Justiça) - Crítica do filme
AUvNI8m0Cmk|Percy vs Goliath - Crítica do filme
_B2Lq6fI-Bk|Spiral (Espiral – O Legado de Jogos Mortais) - Crítica do filme
BcpV8ZYPko0|The Rental - Crítica do filme: estreia de Dave Franco como diretor!
bFQBzlY8HHA|O Circo (1928) - Crítica: Chaplin odiava seu próprio filme?
BIi78Km9FIY|Sergio - Crítica do filme da Netflix
bJ_2JGmxnnA|Halloween - O Início (2007) - Crítica do filme de Rob Zombie
BkBA-9DxPwc|The Virtuoso - Crítica do filme: Anthony Hopkins também erra
bkHNzBCryOw|Rebecca - A Mulher Inesquecível (2020) - Crítica do filme da Netflix
BMSH2Sw3fEU|Pinóquio, de Matteo Garrone - Crítica do filme
Bo_73FQHijE|The Night House (A Casa Sombria) - Crítica do filme
brTeStL3WNk|Nobody (Anônimo) - Crítica do filme
_-BWDW2zEyA|Radioactive - Crítica do filme
bwMa2nyAasA|Mortal Kombat (2021) - Crítica sem spoilers
cAWkOVaw5WU|Batman: Mask of the Phantasm (Batman - A Máscara do Fantasma, 1993) - Crítica
CFMT_lmYU5g|Annette - Crítica do filme
chWBILtiaUo|Reminiscence (Caminhos da Memória) - Crítica do filme
CJzeLCasGSE|F9 - Velozes e Furiosos 9 - Crítica do filme
ck9cvMrXOYc|Manhunter (Caçador de Assassinos, 1986) - Crítica do filme de Michael Mann
cxrO6w1-jLM|Rua do Medo: 1978 - Parte 2 - Crítica do filme da Netflix
D2mnWvJSAKg|Old (Tempo) - Crítica do filme de M. Night Shyamalan
d7NMRh9-G44|Thunder Force (Esquadrão Trovão) - Crítica do filme da Netflix
d9V5ONg4THU|Empty Man (O Mensageiro do Último Dia) - Crítica: Disney descarta mais um filme da FOX
DaM_ZPbG4TE|Wish Dragon (Din e o Dragão Genial) - Crítica: mais uma animação da Sony na Netflix!
DBgP2Iy_28M|Let Them All Talk - Crítica do filme
DiHSh0FJosM|Hillbilly Elegy (Era uma Vez um Sonho) - Crítica do filme da Netflix (sem spoilers)
DkXTNytVZcA|The Prom (A Festa de Formatura) - Crítica do filme da Netflix
DlugVOD8cGA|Sudden Impact (Impacto Fulminante, 1983) - Crítica do filme
dPV2G6faYQ8|O Exorcista III - Crítica do filme
dRRTc68a8bg|Space Jam: Um Novo Legado - Crítica: nem a nostalgia salva
Ds8WvTlliFE|Kajillionaire - Crítica do filme de Miranda July
dSF-RWznCC4|Escape from Alcatraz (Fuga de Alcatraz, 1979) - Crítica do filme
dSjX-Bp_ESA|Fatale - Crítica do filme
dSZGqoZqGYw|The Killing (O Grande Golpe, 1956) - Crítica do filme de Stanley Kubrick
dvm-8joAWbk|Rua do Medo: 1994 - Parte 1 - Crítica do filme da Netflix
E0sIIaO6-nE|Exorcista - O Início (2004) - Crítica do filme
E2N_QWA9b6I|Borat (2006) - Crítica do filme
e4WtoDB6PTs|Yojimbo - Crítica do filme de Akira Kurosawa
edG-nAY5dHE|Halloween H20: Vinte Anos Depois (1998) - Crítica do filme
e-HSZsGK-ow|Halloween III - A Noite das Bruxas (1982) - Crítica: o terror mais injustiçado dos anos 80?
E_htvzfrcLA|His House (O Que Ficou Para Trás) - Crítica do filme da Netflix
ELOQ3YfhVqM|False Positive - Crítica: 'O Bebê de Rosemary' da A24?
eLsoMYjMUBo|Magnum Force (Magnum 44,  1973) - Crítica do filme
ExmXFhZ6U4I|In the Line of Fire (Na Linha de Fogo, 1993) - Crítica do filme
f9gcqe9CJ2c|Bliss: Em Busca da Felicidade - Crítica do filme da Amazon
fb-4MWH0MBI|A Trincheira Infinita - Crítica do filme da Netflix: o candidato da Espanha ao Oscar 2021!
FDXSsBPHxuY|Don't Breathe 2 (O Homem nas Trevas 2) - Crítica do filme
FLftdFlBPiE|Borat 2 - Fita de Cinema Seguinte - Crítica do filme da Amazon
fqesgxhWUFY|Halloween 5 - A Vingança de Michael Myers (1989) - Crítica do filme
FqhyvbHdoG0|007 – Marcado Para A Morte (1987) - Crítica do filme
Fs2ewXwF1SE|Bill & Ted's Excellent Adventure (Uma Aventura Fantástica, 1989) - Crítica do filme
f_SOPVYP9W4|Enola Holmes - Crítica do filme da Netflix
Fy-OsCEy8Jo|Bob Esponja: O Incrível Resgate - Crítica da animação da Netflix
G5gQ_ZDLm-4|007 - O Amanhã Nunca Morre (1997) - Crítica do filme
g5tjjim2HxM|Zola - Crítica do filme da A24
g96fHoyuel4|The Marksman (Na Mira do Perigo) - Crítica do filme: homenagem à Clint Eastwood
GbIgonby7Ls|Awake - Crítica do filme da Netflix
gCpt5X_m9wE|Till Death - Crítica do filme
ghXisSAfcUs|Blow the Man Down - Crítica do filme da Amazon Prime
_gsny4iky0E|Pig - Crítica do filme: a melhor atuação da carreira de Nicolas Cage?
GtF99M1B_IM|Estou Pensando em Acabar com Tudo - Crítica do filme da Netflix (sem spoilers)
GzLF8FI4bFo|Demonic - Crítica: o decepcionante retorno de Neill Blomkamp
H2EYiRCDoz8|Psicose II (1983) - Crítica do filme
ha8GoSr3Wyw|The White Tiger (O Tigre Branco) - Crítica do filme da Netflix
HbkJYMtbxDE|Possessor Uncut - Crítica do filme de Brandon Cronenberg
