url|title
lK2lddfNIMU|A Lenda de Candyman (2021) - Crítica do filme
Bo_73FQHijE|The Night House (A Casa Sombria) - Crítica do filme
GzLF8FI4bFo|Demonic - Crítica: o decepcionante retorno de Neill Blomkamp
kCGShw6KnoE|The Protégé - Crítica do filme
chWBILtiaUo|Reminiscence (Caminhos da Memória) - Crítica do filme
CFMT_lmYU5g|Annette - Crítica do filme
o9FbpasLHp0|Scream 3 (Pânico 3, 2000) - Crítica do filme
FDXSsBPHxuY|Don't Breathe 2 (O Homem nas Trevas 2) - Crítica do filme
i9cAkhEN6-4|Beckett - Crítica do filme da Netflix
kbVrKVqZv98|Free Guy: Assumindo o Controle - Crítica do filme
tjw4-kNZuxE|Sexta-Feira 13 - Parte 2 (1981) - Crítica do filme
6qMv0WgccHY|CODA (No Ritmo do Coração) - Crítica: a aposta da Apple para a temporada de premiações!
0-Gj9jtITF0|Stillwater - Crítica do filme
WdW2iRp6DH0|A Jornada de Vivo - Crítica da animação da Sony (disponível na Netflix)
I2M1-PAiD18|Val - Crítica do documentário da A24 sobre Val Kilmer (Prime Video)
oC4OWyuhPlg|O Esquadrão Suicida - Crítica do filme
iAaBblV97dI|O Último Mercenário - Crítica do filme da Netflix: Van Damme, galhofa e ação.
OcyJ6Cm3h_Y|True Crime (Crime Verdadeiro, 1999) - Crítica do filme
QnCFgabFawY|The Green Knight - Crítica do filme da A24
I5uIubLKeyo|Jungle Cruise - Crítica do filme da Disney
vb3TVP99ysM|Céu Vermelho-Sangue - Crítica do filme da Netflix
D2mnWvJSAKg|Old (Tempo) - Crítica do filme de M. Night Shyamalan
U7TMhFsiQko|G.I. Joe Origens: Snake Eyes - Crítica do filme
i2LyenotKAA|Jolt - Crítica do filme da Amazon
2GapyG2oZdg|"Midnight in the Switchgrass - Crítica: o ""imperador dos filmes B"" estreia como diretor"
lP9_SpUXUt8|O Mistério de Candyman (1992) - Crítica do filme
_gsny4iky0E|Pig - Crítica do filme: a melhor atuação da carreira de Nicolas Cage?
MkGstu_OIXs|Rua do Medo: 1666 - Parte 3 - Crítica do filme da Netflix
dRRTc68a8bg|Space Jam: Um Novo Legado - Crítica: nem a nostalgia salva
0ZIvvzDQ7Tk|Escape Room 2 - Tensão Máxima - Crítica do filme
TVVuKHocDWc|Gunpowder Milkshake - Crítica do filme: entre inspiração e cópia (de John Wick)
yssYD-3imfI|Scream 2 (Pânico 2, 1997) - Crítica do filme
cxrO6w1-jLM|Rua do Medo: 1978 - Parte 2 - Crítica do filme da Netflix
g5tjjim2HxM|Zola - Crítica do filme da A24
s6aLyvEF5oA|The Forever Purge (Uma Noite de Crime 5 - A Fronteira) - Crítica do filme
24ro6a0H4ZA|Absolute Power (Poder Absoluto, 1997) - Crítica do filme
gCpt5X_m9wE|Till Death - Crítica do filme
dvm-8joAWbk|Rua do Medo: 1994 - Parte 1 - Crítica do filme da Netflix
SY-sIX1qeVo|The Tomorrow War (A Guerra do Amanhã) - Crítica do filme da Amazon
lDlF218nbhY|No Sudden Move (Nem Um Passo em Falso) - Crítica do filme do HBO Max: uma boa surpresa!
o8nA1t_C6qQ|Black Widow (Viúva Negra) - Crítica do filme
Kcw_f6GT8VY|The Ice Road - Crítica: Liam Neeson enfrenta o gelo (de novo)
SxumdIc46pY|Werewolves Within - Crítica: o filme baseado no game da Ubisoft
ELOQ3YfhVqM|False Positive - Crítica: 'O Bebê de Rosemary' da A24?
CJzeLCasGSE|F9 - Velozes e Furiosos 9 - Crítica do filme
88SnYOazuGM|Peter Rabbit 2 (Pedro Coelho 2 - O Fugitivo) - Crítica do filme
W3ag7rtJpgA|Scream (Pânico, 1996) - Crítica: o filme que resgatou o interesse pelo slasher!
mvRXeE5_ktQ|Luca - Crítica da animação da Pixar
Q-hr4SS1FnI|Infinite (Infinito) - Crítica do filme: o primeiro original Paramount+
jTYxE-RdmAQ|Censor - Crítica do filme: tributo ao 'video nasty' dos anos 80!
3YVYY4R5UCM|Hitman's Wife's Bodyguard (Dupla Explosiva 2 - E a Primeira Dama do Crime) - Crítica do filme
DaM_ZPbG4TE|Wish Dragon (Din e o Dragão Genial) - Crítica: mais uma animação da Sony na Netflix!
